uid,vbm_vac,cbm_vac
Al4Se6-94e3879ea6f4,-5.721851811138029,-3.260350075520851
Ga4Se6-745ac2c02290,-5.361329977931964,-4.107376970352831
Rh4S6-8b9bae6d7bb2,-6.522186205965298,-5.361080219426787
Tl8Cl12-3ec6314ce711,-7.080793501700436,-4.2104343914067055
F4Hg10-375f0d537a31,-5.271947487965949,-3.7278713810934625
Ag6I6-358f0b92a506,-6.224219950401446,-3.7283204183252083
Au4Br4-9c3510d5cc93,-6.486306719956426,-4.1588529191427375
O4Sn4-9e927176ee5d,-5.328031673573738,-2.716867498361049
O2Tl4-e252a63bf797,-5.328121664504256,-3.85955416329251
PdS2-579abc660e14,-6.101812113508609,-4.310794164979923
S2Tl4-2a6cbd3bf0fe,-4.915554144739437,-3.0579254362400103
Si4Se8-5b362da3e514,-5.491564233212842,-3.5360162217828557
Zr2S4-a55889608d44,-6.36521210872821,-4.645900802912135
Hf2I4Se4-3348a6ae5235,-6.116635838892977,-3.7716719205003577
Y2Cl4S4-0def687a058e,-7.108631863648203,-4.68374057531836
Mn4Cl12-3774d6515d6d,-8.332951168344533,-6.414198467754185
Pd2F6-49af28b389bc,-9.968146471487952,-8.174080319964167
Br2Hg2I2-da752997d751,-6.971133272859426,-4.608399814411698
Cl4Te4Y4-68bd2d3bef14,-6.104887432132481,-4.931203280647572
Cu2Li2Se2-2b26671e271d,-4.654103107220946,-2.23533716239493
Li2Te2Tl2-6bb6f493d15f,-4.215875851963768,-2.6830980528098713
Au2Cl2Se4-53f61cc3310f,-6.45035473828449,-4.864467319058393
Au2Cd2I6-20d6eb749f76,-6.09402973397996,-3.8156203843374223
Nb3Br8-61fe84ff83bc,-4.711835069487105,-3.7266140871583042
Te2Cu4O12-9bcfc588457b,-9.401349190142454,-7.663115151585991
Mo2Br4O4-7a7b281fd1f2,-7.682509660497049,-5.000348076838805
Nb2Cl4Se4-d3bc2aa84672,-5.530143593549052,-3.7065775749956043
P2Pd3S8-5f5b58eadba4,-7.408676903571012,-4.533091404572093
AgScP2Se6-83b1fde87e6b,-6.322800714950714,-3.547329003867014
Ge2Te2-c7bb6cd479a9,-4.863167513602422,-3.3802478303146035
Br2Cl2Zr2-0799730ffd45,-4.576728057271685,-3.4298480406204996
F2Pd2-28a66c9b9a33,-8.987571243870129,-6.797218352919254
I2Zn2-748053f4b718,-5.988262070998509,-3.1057979342856825
In2Se2-eb204c739879,-6.368504840567881,-4.31322626981141
Pb2S2-d4ed2cd9ee0c,-4.926942172057327,-3.1206989148251534
MoS2-b3b4685fb6e1,-5.984825138855917,-3.8973857882186564
PbBr2-0dc6977a707b,-7.599943902958844,-4.674326917201302
SnSe2-bfa429d647f9,-6.021917393119287,-4.269636315500871
TiS2-69e1739b4521,-6.104120702914494,-4.919974071971595
VTe2-45a0c1470922,-4.998652161757439,-4.144622191335129
YCl2-097c5f54659a,-4.222089638594795,-3.2230915506966227
SSb2Se2-7c436126f878,-5.764414723558719,-4.833343503930811
TeSb2Se2-bd9858a68aa6,-5.761817852256713,-4.7401150278739355
MoW3S8-2f6f133abcc8,-5.7495841205870075,-3.6851678685322256
Al2I2Se2-c5dc6126821b,-6.169962173162647,-3.930536306098081
BiBrS-49b7be14f786,-7.089896809145532,-5.48975232505205
BrClZr-8cb69386d06b,-3.8725252916335537,-2.47598833090231
Cl2Ir2S2-4064ccdd7b40,-6.287882038814086,-5.087259529789815
Cr2I2S2-a68f6e0481d3,-6.073716147620038,-4.52552064006912
HfSSe-63618e5bf062,-6.128616776784435,-4.6167014373694855
Ag2Br2S4-5979f170cce4,-7.033304318303061,-4.790814304057491
Br2Cu2Se4-f0ed4ed73f83,-7.0469946993420995,-4.731758484068392
Ge2P2S6-57b6b4812de1,-6.157166336877499,-4.061610734421216
P2Sc2Se6-093920d00119,-4.988052253355083,-3.7742578389512356
MnZrI6-87bf2615c49d,-6.453630083412189,-3.8946792505827617
ClScTe-e11ecf94c06b,-5.1423943256827735,-3.335383801654968
PtSSe-c22340ccd3cb,-6.36099689776261,-4.34447416455218
Br2Nb2Cl4-2aa0d5c122cd,-5.181872604409119,-3.982475027525544
BrClGe2Se2-48970463a952,-6.6920835436210675,-3.9951024754752087
GeHfBr2S2-5b661abc9f33,-5.8751254405283495,-4.441349324287299
ClIHf2Br4-ee53324331e5,-4.572344132983167,-3.425895734992974
SSeOs2Cl4-5e769803e272,-6.282241436292156,-5.389302658795694
PtSnS4-07af462ef271,-6.750537515670539,-4.62875875151209
PdSSePt3Cl6-251abeb569bc,-6.785486082244514,-5.456346773498286
Cu2I2Se3P4-52ff56e72653,-6.461134434209716,-4.159591227487606
Ga4S6-2346f2bd5b6e,-7.254218834362376,-4.680398070836453
In8Te12-299989d0a802,-5.123182514715342,-3.5383949443646
P4S6-15eab22a3053,-6.3863655985217065,-3.6901521671153317
As2Te2-a6cfc731ed2a,-5.351370161321269,-3.8552315841772176
Au2I2-72fced2a2635,-5.205192990473698,-2.6197344911210596
Cl2Si2-de99866f4532,-6.332718885050529,-4.303543771586078
Si4Te8-eebb2a0bbfc2,-5.4011483488246865,-3.460903297129099
S4As8Se8-c1438439fab1,-5.911756384213989,-3.744950631307612
In2Pt4Se6-296116bc2733,-5.56444481207746,-3.875071260825722
CdIn2S4-acb1f2e42bb9,-6.1768228331361685,-4.676939957066792
MgAl2Te4-a39c84e5416d,-4.59979012904738,-3.4395437733568186
MnBi2S4-51447163e54b,-6.291012491066733,-5.095564099569802
MnSb2S4-26978a157bac,-5.692121744822736,-4.51415093353545
Br2Ta4S12-222629b21051,-5.338884624866271,-4.3568859559055175
F2Re6Se8-0658a102a69f,-6.617177702833963,-4.659783893587163
ONb3Br7-7a93393f8917,-5.781258260333052,-4.340026274683656
SeNb3F7-d71ce729fec2,-5.712543484734744,-3.9052326565382063
Os2F8-4b46fafbea0d,-8.27924559958155,-6.03966413587691
Ag4Br4Se4-e1f92c47611e,-7.280123592560624,-6.066760452301668
Al2I2S2-21160492f9c0,-6.0645246942149305,-3.630398591792254
As4Se4Si4-1f88feef021e,-6.09933321023312,-3.198001257034808
Au4Cl4Te4-2b5009d03745,-6.800952999611628,-4.876920014408834
Ga4I4Se4-252d6927ebb0,-6.515631584465109,-3.694287732199027
Ge2In2Se2-828125a7a42c,-5.71902127613596,-4.7143702400220455
I4In4S4-c22849315c7c,-6.857533503298708,-4.068554382149848
Cl2Cu2O4-2c6b186a1cb6,-7.90652288043756,-6.619441171480748
Li4P4S8-f24c970ebe81,-6.174674828221443,-3.8850189567903737
AgCrP2Se6-20616754001c,-6.031611277091826,-4.242829742594772
AgSbAs2S6-18254fe4e1c7,-6.457931196654503,-4.615180162845432
AlNaAs2Se6-25c8822229fc,-6.33686358087966,-4.587282193581817
CoNaP2S6-7d2f5f69904a,-6.878630719871468,-5.02719946391422
CrCuP2Se6-33fb880693b8,-6.208807167533103,-4.0359070220612345
Al2Ge2Te6-2dd60af636eb,-5.369496653341733,-3.893463969291545
Cr2Ge2S6-9aa191aaa6de,-6.5681399058747365,-4.340810466237329
Cr2Si2S6-4b0c7f48554c,-6.676603763342843,-4.092339281610244
Ge2In2S6-a958f89dfd93,-6.890975758982851,-4.462292363134971
Pd2S2O6-ce3f7283c436,-7.097932682332697,-4.803651105348575
Na2Nb2Br12-4b5f0446f798,-7.545936196319444,-4.633834275251712
PdZrI6-d4cae93ebff3,-6.1201449097812795,-4.77942804291947
Ag2Cd2I2Te2-398eefe20b86,-5.748437228081468,-3.7016322666105146
Au2Cl2Hg2Te2-748164498b7f,-5.410189730187293,-4.320392391697609
Br2Cu2Hg2S2-e2a85443c441,-6.748633367464307,-4.648124793225275
Cu2Hg2I2S2-ee7456587b46,-6.307068706752371,-4.268577298992094
As4Ba4Cl4S8-492686e588ec,-6.549999962410585,-3.628834531870868
Ba4F4Sb4S8-3abafc55f05c,-6.301248093893454,-3.5522752449117165
Bi2Cd2I2O4-b35fe5e97b61,-6.379889978738401,-3.78194627543193
Br2Mn2Sb2S4-1e307d026f9b,-5.628846505347061,-3.9992737362945383
K2N2O2Ru2Cl10-23f894e360fa,-7.732954117613667,-6.1748684158502645
N2O2Os2Rb2F10-b8e057a01919,-7.865779927220248,-5.001326626474734
Ga4Te6-ef022c1696e1,-4.690639542892373,-3.9599373874637336
Tl2S3-786ba8797ca3,-4.18795839023075,-2.624308458371313
Ge6P8-4eef99521466,-5.508558915314165,-3.946735513587529
O6Sn6-41ef2dd0fa90,-5.315049602332702,-2.6081869929668793
OTl2-c69b72d32e1e,-5.009611205498372,-3.504131871560504
Pd2Se4-c18634586663,-5.346986888904635,-4.113375291349424
Si2Te4-bc88b3173c53,-4.8094541192669125,-3.7211680204357718
Te2Ag4-852a59b5861a,-5.852023916497306,-4.4114220825318
Zr2Se4-fdeece8ac588,-5.635183994092946,-4.503792225780635
Hf2I4Te4-10f5ccf64f8b,-5.46407805453729,-3.803750803048523
Au2Br6-eb4902b824c6,-7.106558158561782,-5.463132541905164
MnI4-236fde0b9f48,-6.314724570932441,-4.366292837824725
As2Re2Se2-6a32e9ba0b83,-5.346540483213634,-3.9674804648043582
F2Se2Y2-a261ea6e24e0,-6.854111014432833,-4.424234666776242
