uid,vbm_vac,cbm_vac
Al4Se6-94e3879ea6f4,-5.721851811138029,-3.260350075520851
Ga4Se6-745ac2c02290,-5.361329977931964,-4.107376970352831
Rh4S6-8b9bae6d7bb2,-6.522186205965298,-5.361080219426787
Tl8Cl12-3ec6314ce711,-7.080793501700436,-4.2104343914067055
F4Hg10-375f0d537a31,-5.271947487965949,-3.7278713810934625
Ag6I6-358f0b92a506,-6.224219950401446,-3.7283204183252083
Au4Br4-9c3510d5cc93,-6.486306719956426,-4.1588529191427375
O4Sn4-9e927176ee5d,-5.328031673573738,-2.716867498361049
O2Tl4-e252a63bf797,-5.328121664504256,-3.85955416329251
PdS2-579abc660e14,-6.101812113508609,-4.310794164979923
